,Unnamed: 0_x,Company,revenues,rev_perc_change,profit,prof_perc_change,assets,market_value,rank_change1000,employees,rank_change500,CEO,CEO Title,Sector,Industry_x,HQ Location,Website,Years on Fortune 500 List,Employees,Revenues ($M),Revenues ($M)Growth,Profits ($M),Profits ($M)Growth,Assets ($M),Assets ($M)Growth,Total Stockholder Equity ($M),Total Stockholder Equity ($M)Growth,Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2017),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2018),"Total Return to Investors (5 year, annualized)","Total Return to Investors (10 year, annualized)",Unnamed: 0_y,Market Cap,Industry_y,No_Directors,Median_age,Board_Independance,Median_Tenure,Median_pay,women_on_board
52,64,cigna,"$48,650.0",16.9%,"$2,637.0",17.9%,"$153,226.0","$61,058.9",8,"73,800",8,David M. Cordani,"President, Chief Executive Officer &amp; Director",Health Care,,"Bloomfield, Conn.",,25,"73,800","$48,650.0",16.9%,"$2,637.0",17.9%,"$153,226.0",-,"$41,028.0",-,5.4%,1.7%,6.4%,10.54,20.2%,15.3%,25.9%,-6.5%,16.8%,27.5%,118,34532,Health Care,11,62.0,0.91,8.0,296170,0.27
53,67,americanairlinesgroup,"$44,541.0",5.5%,"$1,412.0",-26.4%,"$60,580.0","$14,262.0",3,"128,900",3,W. Douglas Parker,Chairman &amp; Chief Executive Officer,Transportation,Airlines,"Fort Worth, Texas",,25,"128,900","$44,541.0",5.5%,"$1,412.0",-26.4%,"$60,580.0",-,$-169.0,-,3.2%,2.3%,-,3.03,-22.3%,-,-,-37.7%,5.8%,-,18,29133,Industrials,11,61.0,0.91,2.0,417467,0.09
54,68,deltaairlines,"$44,438.0",7.7%,"$3,935.0",10.0%,"$60,266.0","$35,067.8",6,"88,680",6,Edward H. Bastian,Chairman &amp; Chief Executive Officer,Transportation,Airlines,"Atlanta, Ga.",,25,"88,680","$44,438.0",7.7%,"$3,935.0",10.0%,"$60,266.0",-,"$13,687.0",-,8.9%,6.5%,28.7%,5.67,14.5%,-14.3%,-,-8.8%,14.4%,16.8%,150,39984,Industrials,16,64.5,0.81,4.5,282427,0.06
55,71,americanexpress,"$43,281.0",21.6%,"$6,921.0",153.0%,"$188,602.0","$91,675.1",14,"59,000",14,Stephen J. Squeri,Chairman &amp; Chief Executive Officer,Financials,Diversified Financials,"New York, N.Y.",,25,"59,000","$43,281.0",21.6%,"$6,921.0",153.0%,"$188,602.0",-,"$22,290.0",-,16.0%,3.7%,31.0%,7.91,166.3%,10.1%,13.0%,-2.6%,2.5%,19.7%,120,72105,Financials,12,64.0,0.75,8.0,295150,0.25
56,76,honeywellinternational,"$41,802.0",3.1%,"$6,765.0",308.8%,"$57,773.0","$115,752.5",-,"114,000",-,Darius E. Adamczyk,Chairman &amp; Chief Executive Officer,Industrials,"Electronics, Electrical Equip.","Morris Plains, N.J.",,65,"114,000","$41,802.0",3.1%,"$6,765.0",308.8%,"$57,773.0",-,"$18,180.0",-,16.2%,11.7%,37.2%,8.98,319.6%,12.8%,9.1%,-8.4%,10.9%,18.3%,141,79596,Industrials,13,63.0,0.92,9.0,287391,0.23
57,77,unitedcontinentalholdings,"$41,303.0",9.5%,"$2,129.0",-0.1%,"$44,792.0","$21,279.5",3,"92,000",3,Oscar Munoz,Chief Executive Officer &amp; Director,Transportation,Airlines,"Chicago, Ill.",,25,"92,000","$41,303.0",9.5%,"$2,129.0",-0.1%,"$44,792.0",-,"$9,995.0",-,5.2%,4.8%,21.3%,7.7,9.7%,38.2%,-,24.2%,17.2%,22.5%,274,22484,Industrials,11,63.0,0.82,5.0,248535,0.18
58,79,tysonfoods,"$40,052.0",4.7%,"$3,024.0",70.5%,"$29,109.0","$25,360.5",-,"121,000",-,Noel White,"President, Chief Executive Officer &amp; Director","Food, Beverages &amp; Tobacco",Food Production,"Springdale, Ark.",,38,"121,000","$40,052.0",4.7%,"$3,024.0",70.5%,"$29,109.0",-,"$12,803.0",-,7.6%,10.4%,23.6%,8.19,71.0%,31.0%,42.3%,-32.8%,11.2%,21.2%,360,16607,Consumer Staples,9,60.5,0.67,7.0,225600,0.11
59,80,oracle,"$39,831.0",5.6%,"$3,825.0",-59.0%,"$137,264.0","$183,562.2",1,"137,000",1,Safra A. Catz,Chief Executive Officer &amp; Director,Technology,Computer Software,"Redwood City, Calif.",,24,"137,000","$39,831.0",5.6%,"$3,825.0",-59.0%,"$137,264.0",-,"$45,726.0",-,9.6%,2.8%,8.4%,0.9,-59.3%,-16.8%,-1.6%,-3.0%,4.9%,11.1%,8,165638,Information Technology,12,69.5,0.67,13.5,588485,0.17
60,81,allstate,"$39,815.0",3.4%,"$2,252.0",-29.4%,"$112,249.0","$31,264.3",-3,"45,420",-3,Thomas J. Wilson,"Chairman, President &amp; Chief Executive Officer",Financials,,"Northbrook, Ill.",,24,"45,420","$39,815.0",3.4%,"$2,252.0",-29.4%,"$112,249.0",-,"$21,312.0",-,5.7%,2.0%,10.6%,5.96,-28.7%,4.4%,-,-19.6%,10.7%,12.3%,361,23966,Financials,10,60.5,0.9,4.0,225270,0.3
61,85,conocophillips,"$38,727.0",18.9%,"$6,257.0",-,"$69,980.0","$75,710.1",9,"10,800",9,Ryan M. Lance,Chairman &amp; Chief Executive Officer,Energy,"Mining, Crude-Oil Production","Houston, Texas",,65,"10,800","$38,727.0",18.9%,"$6,257.0",-,"$69,980.0",-,"$31,939.0",-,16.2%,8.9%,19.6%,5.32,-,-6.3%,-,15.6%,0.6%,8.4%,38,65805,Energy,11,64.0,0.82,3.0,360054,0.18
62,86,deere,"$37,357.7",25.6%,"$2,368.4",9.7%,"$70,108.0","$50,908.0",15,"74,413",15,John C. May,Chief Executive Officer,Industrials,Construction and Farm Machinery,"Moline, Ill.",,65,"74,413","$37,357.7",25.6%,"$2,368.4",9.7%,"$70,108.0",-,"$11,287.8",-,6.3%,3.4%,21.0%,7.24,8.4%,-4.4%,4.4%,-3.0%,13.0%,17.2%,319,25596,Industrials,14,65.0,0.93,8.0,236413,0.21
63,89,nike,"$36,397.0",6.0%,"$1,933.0",-54.4%,"$22,536.0","$132,529.5",-1,"73,100",-1,Mark G. Parker,"Chairman, President &amp; Chief Executive Officer",Apparel,Apparel,"Beaverton, Ore.",,25,"73,100","$36,397.0",6.0%,"$1,933.0",-54.4%,"$22,536.0",-,"$9,812.0",-,5.3%,8.6%,19.7%,1.17,-53.4%,-2.9%,2.3%,19.9%,14.9%,20.8%,175,111662,Consumer Discretionary,13,59.0,0.69,9.0,273682,0.23
64,91,generaldynamics,"$36,193.0",16.9%,"$3,345.0",14.9%,"$45,408.0","$48,883.0",7,"105,600",7,Phebe N. Novakovic,Chairman &amp; Chief Executive Officer,Aerospace &amp; Defense,Aerospace and Defense,"Falls Church, Va.",,65,"105,600","$36,193.0",16.9%,"$3,345.0",14.9%,"$45,408.0",-,"$11,732.0",-,9.2%,7.4%,28.5%,11.18,16.9%,10.9%,6.1%,-21.3%,12.6%,13.1%,256,46970,Industrials,12,63.0,0.83,5.0,254374,0.25
65,92,exelon,"$35,985.0",7.3%,"$2,010.0",-46.7%,"$119,666.0","$48,623.7",-1,"33,383",-1,Christopher M. Crane,"President, Chief Executive Officer &amp; Director",Energy,,"Chicago, Ill.",,25,"33,383","$35,985.0",7.3%,"$2,010.0",-46.7%,"$119,666.0",-,"$30,764.0",-,5.6%,1.7%,6.5%,2.07,-47.9%,0.7%,-6.7%,18.2%,14.6%,2.2%,279,25674,Utilities,14,65.5,0.86,4.5,246500,0.14
66,94,3m,"$32,765.0",3.5%,"$5,349.0",10.1%,"$36,500.0","$119,659.8",2,"93,516",2,Michael F. Roman,Chief Executive Officer &amp; Director,Industrials,Miscellaneous,"St. Paul, Minn.",,65,"93,516","$32,765.0",3.5%,"$5,349.0",10.1%,"$36,500.0",-,"$9,796.0",-,16.3%,14.7%,54.6%,8.89,12.1%,5.8%,6.2%,-16.9%,9.0%,15.6%,187,96796,Industrials,11,65.0,0.91,7.0,270180,0.18
67,95,abbvie,"$32,753.0",16.1%,"$5,687.0",7.1%,"$59,352.0","$119,125.3",14,"30,000",14,Richard A. Gonzalez,Chairman &amp; Chief Executive Officer,Health Care,Pharmaceuticals,"North Chicago, Ill.",,6,"30,000","$32,753.0",16.1%,"$5,687.0",7.1%,"$59,352.0",-,"$-8,446.0",-,17.4%,9.6%,-,3.66,10.9%,7.4%,-,-1.2%,15.7%,-,121,97349,Health Care,9,63.0,0.89,2.0,295129,0.11
68,97,capitalonefinancial,"$32,377.0",7.9%,"$6,015.0",203.5%,"$372,538.0","$38,340.7",3,"47,600",3,Richard D. Fairbank,"Chairman, President &amp; Chief Executive Officer",Financials,Commercial Banks,"McLean, Va.",,20,"47,600","$32,377.0",7.9%,"$6,015.0",203.5%,"$372,538.0",-,"$51,668.0",-,18.6%,1.6%,11.6%,11.82,238.7%,11.2%,-,-22.8%,1.6%,10.8%,66,41978,Financials,10,62.0,0.8,10.5,330003,0.2
69,98,progressive,"$31,979.0",19.2%,"$2,615.3",64.3%,"$46,575.0","$42,099.5",13,"37,346",13,Susan Patricia Griffith,"President, Chief Executive Officer &amp; Director",Financials,,"Mayfield Village, Ohio",,25,"37,346","$31,979.0",19.2%,"$2,615.3",64.3%,"$46,575.0",-,"$10,821.8",-,8.2%,5.6%,24.2%,4.42,62.5%,18.0%,-,9.4%,20.9%,18.7%,308,19367,Financials,10,61.0,0.7,9.0,240007,0.2
70,99,coca-cola,"$31,856.0",-10.0%,"$6,434.0",415.5%,"$83,216.0","$200,334.1",-13,"62,600",-13,James R. Quincey,Chief Executive Officer &amp; Director,"Food, Beverages &amp; Tobacco",Beverages,"Atlanta, Ga.",,65,"62,600","$31,856.0",-10.0%,"$6,434.0",415.5%,"$83,216.0",-,"$16,981.0",-,20.2%,7.7%,37.9%,1.5,417.2%,-4.6%,1.9%,6.8%,6.1%,11.0%,239,184179,Consumer Staples,15,63.0,0.87,5.0,256976,0.27
71,102,abbottlaboratories,"$30,578.0",11.6%,"$2,368.0",396.4%,"$67,173.0","$140,412.2",8,"103,000",8,Miles D. White,Chairman &amp; Chief Executive Officer,Health Care,Medical Products and Equipment,"Abbott Park, Ill.",,65,"103,000","$30,578.0",11.6%,"$2,368.0",396.4%,"$67,173.0",-,"$30,524.0",-,7.7%,3.5%,7.8%,1.33,392.6%,-3.9%,-8.2%,29.0%,16.0%,13.9%,157,66771,Health Care,11,64.0,0.91,7.0,278579,0.36
72,103,twenty-firstcenturyfox,"$30,400.0",6.7%,"$4,464.0",51.2%,"$53,831.0",-,5,"22,400",5,James R. Murdoch,Chief Executive Officer &amp; Director,Media,Entertainment,"New York, N.Y.",,15,"22,400","$30,400.0",6.7%,"$4,464.0",51.2%,"$53,831.0",-,"$19,564.0",-,14.7%,8.3%,22.8%,2.4,50.9%,-4.6%,2.9%,40.6%,7.6%,20.8%,92,60998,Consumer Discretionary,13,54.0,0.62,8.0,312000,0.08
73,104,microntechnology,"$30,391.0",49.5%,"$14,135.0",177.8%,"$43,376.0","$45,739.4",45,"36,000",45,Sanjay Mehrotra,"President, Chief Executive Officer &amp; Director",Technology,Semiconductors and Other Electronic Components,"Boise, Idaho",,23,"36,000","$30,391.0",49.5%,"$14,135.0",177.8%,"$43,376.0",-,"$32,294.0",-,46.5%,32.6%,43.8%,11.51,161.0%,59.1%,-,-22.8%,7.8%,28.2%,50,17980,Information Technology,8,56.5,0.88,6.0,338210,0.13
74,107,northropgrumman,"$30,095.0",16.6%,"$3,229.0",60.2%,"$37,653.0","$45,821.0",10,"85,000",10,Kathy J. Warden,"President, Chief Executive Officer &amp; Director",Aerospace &amp; Defense,Aerospace and Defense,"Falls Church, Va.",,65,"85,000","$30,095.0",16.6%,"$3,229.0",60.2%,"$37,653.0",-,"$8,187.0",-,10.7%,8.6%,39.4%,18.49,61.2%,17.2%,-,-18.9%,18.4%,22.7%,207,34242,Industrials,12,65.0,0.92,6.5,264052,0.17
75,109,philipmorrisinternational,"$29,625.0",3.1%,"$7,911.0",31.1%,"$39,801.0","$137,516.7",-2,"77,400",-2,,Chief Executive Officer &amp; Director,"Food, Beverages &amp; Tobacco",Tobacco,"New York, N.Y.",,11,"77,400","$29,625.0",3.1%,"$7,911.0",31.1%,"$39,801.0",-,"$-12,459.0",-,26.7%,19.9%,-,5.08,30.9%,-0.7%,4.3%,-33.7%,-0.8%,9.0%,76,136957,Consumer Staples,12,62.0,0.83,4.5,320000,0.17
76,113,raytheon,"$27,058.0",6.7%,"$2,909.0",43.7%,"$31,864.0","$51,390.1",5,"67,000",5,Thomas A. Kennedy,Chairman &amp; Chief Executive Officer,Aerospace &amp; Defense,Aerospace and Defense,"Waltham, Mass.",,65,"67,000","$27,058.0",6.7%,"$2,909.0",43.7%,"$31,864.0",-,"$11,472.0",-,10.8%,9.1%,25.4%,10.15,46.0%,10.5%,9.9%,-17.0%,13.4%,14.6%,158,35348,Industrials,11,65.0,0.91,4.5,278525,0.18
77,114,kraftheinz,"$26,259.0",0.1%,"$-10,229.0",-193.0%,"$103,627.0","$39,814.6",-1,"39,000",-1,Bernardo Hees,Chief Executive Officer &amp; Director,"Food, Beverages &amp; Tobacco",Food Consumer Products,"Pittsburgh, Pa.",,65,"39,000","$26,259.0",0.1%,"$-10,229.0",-193.0%,"$103,627.0",-,"$51,785.0",-,-39.0%,-9.9%,-19.8%,-8.39,-193.7%,-,-,-42.2%,-,-,495,94564,Consumer Staples,11,63.0,1.0,0.0,-1,0.18
78,115,mondelezinternational,"$25,938.0",0.2%,"$3,381.0",15.7%,"$62,729.0","$72,171.7",1,"80,000",1,Dirk Van de Put,Chairman &amp; Chief Executive Officer,"Food, Beverages &amp; Tobacco",Food Consumer Products,"Deerfield, Ill.",,46,"80,000","$25,938.0",0.2%,"$3,381.0",15.7%,"$62,729.0",-,"$25,637.0",-,13.0%,5.4%,13.2%,2.28,19.4%,0.8%,1.7%,-4.4%,4.4%,11.4%,220,73355,Consumer Staples,12,66.0,0.92,3.0,261526,0.25
79,116,usbancorp,"$25,775.0",7.4%,"$7,096.0",14.1%,"$467,374.0","$77,116.5",5,"75,772",5,Andrew J. Cecere,"President, Chief Executive Officer &amp; Director",Financials,Commercial Banks,"Minneapolis, Minn.",,21,"75,772","$25,775.0",7.4%,"$7,096.0",14.1%,"$467,374.0",-,"$51,029.0",-,27.5%,1.5%,13.9%,4.14,17.9%,6.7%,9.9%,-12.6%,4.9%,8.6%,273,73983,Financials,13,66.0,0.85,9.0,248995,0.23
80,117,macy's,"$25,739.0",3.6%,"$1,108.0",-28.4%,"$19,194.0","$7,388.4",2,"130,000",2,Jeffrey Gennette,Chairman &amp; Chief Executive Officer,Retailing,General Merchandisers,"Cincinnati, Ohio",,25,"130,000","$25,739.0",3.6%,"$1,108.0",-28.4%,"$19,194.0",-,"$6,436.0",-,4.3%,5.8%,17.2%,3.56,-29.4%,-1.6%,-,24.1%,-7.6%,14.2%,320,16028,Consumer Discretionary,13,64.0,0.92,9.0,236397,0.46
81,118,dollargeneral,"$25,625.0",9.2%,"$1,589.5",3.3%,"$13,204.0","$30,960.6",4,"135,000",4,Todd J. Vasos,Chief Executive Officer &amp; Director,Retailing,,"Goodlettsville, Tenn.",,21,"135,000","$25,625.0",9.2%,"$1,589.5",3.3%,"$13,204.0",-,"$6,417.4",-,6.2%,12.0%,24.8%,5.97,6.0%,13.5%,-,17.5%,13.4%,-,334,19969,Consumer Discretionary,9,59.0,0.78,5.0,233515,0.33
82,119,nucor,"$25,067.3",23.8%,"$2,360.8",79.0%,"$17,920.6","$17,784.0",31,"26,300",31,John J. Ferriola,"Chairman, President &amp; Chief Executive Officer",Materials,Metals,"Charlotte, N.C.",,40,"26,300","$25,067.3",23.8%,"$2,360.8",79.0%,"$17,920.6",-,"$9,792.1",-,9.4%,13.2%,24.1%,7.42,81.0%,37.3%,2.2%,-16.5%,2.3%,4.3%,333,13519,Materials,9,62.0,0.89,7.0,233762,0.22
83,120,starbucks,"$24,719.5",10.4%,"$4,518.3",56.6%,"$24,156.4","$92,449.2",11,"291,000",11,Kevin R. Johnson,"President, Chief Executive Officer &amp; Director","Hotels, Restaurants &amp; Leisure",Food Services,"Seattle, Wash.",,17,"291,000","$24,719.5",10.4%,"$4,518.3",56.6%,"$24,156.4",-,"$1,169.5",-,18.3%,18.7%,386.3%,3.24,64.5%,265.0%,31.2%,14.7%,12.3%,31.6%,312,92866,Consumer Discretionary,12,66.0,0.75,11.0,239973,0.17
84,122,elililly,"$24,555.7",7.4%,"$3,232.0",-,"$43,908.4","$134,355.9",6,"38,680",6,David A. Ricks,"Chairman, President &amp; Chief Executive Officer",Health Care,Pharmaceuticals,"Indianapolis, Ind.",,65,"38,680","$24,555.7",7.4%,"$3,232.0",-,"$43,908.4",-,"$9,828.7",-,13.2%,7.4%,32.9%,3.13,-,-6.2%,-,40.3%,21.0%,15.5%,218,90423,Health Care,13,64.0,0.92,7.0,261881,0.31
85,123,thermofisherscientific,"$24,358.0",16.4%,"$2,938.0",32.0%,"$56,232.0","$109,215.3",20,"69,200",20,Marc N. Casper,"President, Chief Executive Officer &amp; Director",Technology,"Scientific,Photographic and Control Equipment","Waltham, Mass.",,22,"69,200","$24,358.0",16.4%,"$2,938.0",32.0%,"$56,232.0",-,"$27,586.0",-,12.1%,5.2%,10.7%,7.24,29.5%,15.8%,12.2%,18.2%,15.5%,21.1%,169,52194,Health Care,10,58.5,0.9,6.5,275920,0.2
86,125,dukeenergy,"$24,116.0",4.0%,"$2,666.0",-12.8%,"$145,392.0","$65,488.1",-1,"30,083",-1,Lynn J. Good,"Chairman, President &amp; Chief Executive Officer",Energy,,"Charlotte, N.C.",,25,"30,083","$24,116.0",4.0%,"$2,666.0",-12.8%,"$145,392.0",-,"$43,817.0",-,11.1%,1.8%,6.1%,3.76,-13.8%,0.0%,1.6%,7.3%,9.2%,11.9%,134,49194,Utilities,15,67.0,0.93,3.0,291186,0.2
87,126,halliburton,"$23,995.0",16.4%,"$1,656.0",-,"$25,982.0","$25,565.5",19,"60,000",19,Jeffrey A. Miller,"President, Chief Executive Officer &amp; Director",Energy,"Oil and Gas Equipment, Services","Houston, Texas",,25,"60,000","$23,995.0",16.4%,"$1,656.0",-,"$25,982.0",-,"$9,522.0",-,6.9%,6.4%,17.4%,1.89,-,-4.3%,1.1%,-44.6%,-10.7%,5.3%,17,32846,Energy,12,62.5,0.83,7.5,420876,0.17
88,127,cummins,"$23,771.0",16.4%,"$2,141.0",114.3%,"$19,062.0","$24,839.1",21,"62,610",21,N. Thomas Linebarger,Chairman &amp; Chief Executive Officer,Industrials,Industrial Machinery,"Columbus, Ind.",,65,"62,610","$23,771.0",16.4%,"$2,141.0",114.3%,"$19,062.0",-,"$7,348.0",-,9.0%,11.2%,29.1%,13.15,120.3%,10.7%,13.1%,-22.1%,1.7%,20.1%,179,18385,Industrials,10,60.5,0.9,6.5,273118,0.2
89,128,amgen,"$23,747.0",3.9%,"$8,394.0",324.2%,"$66,416.0","$118,220.4",1,"21,500",1,Robert A. Bradway,"Chairman, President &amp; Chief Executive Officer",Health Care,Pharmaceuticals,"Thousand Oaks, Calif.",,23,"21,500","$23,747.0",3.9%,"$8,394.0",324.2%,"$66,416.0",-,"$12,500.0",-,35.3%,12.6%,67.2%,12.62,369.1%,13.7%,12.5%,15.1%,14.0%,14.8%,49,119319,Health Care,14,67.0,0.93,6.0,341990,0.14
90,129,paccar,"$23,495.7",20.8%,"$2,195.1",31.0%,"$25,482.4","$23,630.4",25,"28,000",25,Ronald E. Armstrong,Chief Executive Officer &amp; Director,Industrials,Construction and Farm Machinery,"Bellevue, Wash.",,65,"28,000","$23,495.7",20.8%,"$2,195.1",31.0%,"$25,482.4",-,"$8,592.9",-,9.3%,8.6%,25.5%,6.24,31.4%,13.6%,8.4%,-17.0%,2.6%,10.2%,350,18690,Industrials,11,61.0,0.73,6.0,227552,0.18
91,130,southern,"$23,495.0",2.0%,"$2,226.0",164.4%,"$116,914.0","$53,466.3",-5,"30,286",-5,Thomas A. Fanning,"Chairman, President &amp; Chief Executive Officer",Energy,,"Atlanta, Ga.",,25,"30,286","$23,495.0",2.0%,"$2,226.0",164.4%,"$116,914.0",-,"$24,723.0",-,9.5%,1.9%,9.0%,2.17,158.3%,3.0%,-0.4%,-3.7%,6.3%,6.8%,352,41040,Utilities,15,65.0,0.8,5.0,227451,0.2
92,131,centurylink,"$23,443.0",32.8%,"$-1,733.0",-224.8%,"$70,256.0","$12,946.6",34,"45,000",34,Jeffrey K. Storey,"President, Chief Executive Officer &amp; Director",Telecommunications,Telecommunications,"Monroe, La.",,10,"45,000","$23,443.0",32.8%,"$-1,733.0",-224.8%,"$70,256.0",-,"$19,828.0",-,-7.4%,-2.5%,-8.7%,-1.63,-173.8%,-,-,1.8%,-6.1%,2.2%,211,15487,Telecommunications Services,12,62.0,0.75,11.0,263475,0.17
93,132,internationalpaper,"$23,306.0",0.0%,"$2,012.0",-6.2%,"$33,576.0","$18,518.9",-9,"53,000",-9,Mark S. Sutton,Chairman &amp; Chief Executive Officer,Materials,"Packaging, Containers","Memphis, Tenn.",,65,"53,000","$23,306.0",0.0%,"$2,012.0",-6.2%,"$33,576.0",-,"$7,362.0",-,8.6%,6.0%,27.3%,4.85,-5.5%,9.3%,-,-27.7%,-0.1%,17.0%,234,17833,Materials,12,61.0,0.92,4.0,258799,0.17
94,133,unionpacific,"$22,832.0",7.5%,"$5,966.0",-44.3%,"$59,147.0","$120,865.2",7,"41,967",7,Lance M. Fritz,"Chairman, President &amp; Chief Executive Officer",Transportation,Railroads,"Omaha, Neb.",,30,"41,967","$22,832.0",7.5%,"$5,966.0",-44.3%,"$59,147.0",-,"$20,423.0",-,26.1%,10.1%,29.2%,7.91,-40.8%,10.9%,13.3%,5.3%,12.9%,21.7%,186,76315,Industrials,11,68.0,0.91,9.0,270468,0.09
95,134,dollartree,"$22,823.3",2.6%,"$-1,590.8",-192.8%,"$13,501.2","$25,021.0",-1,"119,650",-1,Gary M. Philbin,"President, Chief Executive Officer &amp; Director",Retailing,,"Chesapeake, Va.",,11,"119,650","$22,823.3",2.6%,"$-1,590.8",-192.8%,"$13,501.2",-,"$5,642.9",-,-7.0%,-11.8%,-28.2%,-6.66,-192.4%,-,-,-15.8%,9.9%,20.6%,414,15371,Consumer Discretionary,11,67.0,0.64,11.0,210000,0.09
96,136,qualcomm,"$22,732.0",2.0%,"$-4,864.0",-297.2%,"$32,686.0","$69,023.7",-4,"35,400",-4,Steven M. Mollenkopf,Chief Executive Officer &amp; Director,Technology,Semiconductors and Other Electronic Components,"San Diego, Calif.",,20,"35,400","$22,732.0",2.0%,"$-4,864.0",-297.2%,"$32,686.0",-,$928.0,-,-21.4%,-14.9%,-524.1%,-3.32,-301.2%,-,-,-7.5%,-1.9%,7.5%,35,93360,Information Technology,15,66.0,0.73,9.0,363517,0.2
97,137,bristol-myerssquibb,"$22,561.0",8.6%,"$4,920.0",388.6%,"$34,986.0","$77,895.0",7,"23,300",7,Giovanni Caforio,Chairman &amp; Chief Executive Officer,Health Care,Pharmaceuticals,"New York, N.Y.",,65,"23,300","$22,561.0",8.6%,"$4,920.0",388.6%,"$34,986.0",-,"$14,031.0",-,21.8%,14.1%,35.1%,3.01,393.4%,14.3%,1.4%,-12.7%,2.2%,12.3%,115,110023,Health Care,11,64.0,0.82,7.0,298646,0.18
98,138,gileadsciences,"$22,127.0",-15.2%,"$5,455.0",17.9%,"$63,675.0","$82,881.0",-23,"11,000",-23,,Chairman &amp; Chief Executive Officer,Health Care,Pharmaceuticals,"Foster City, Calif.",,11,"11,000","$22,127.0",-15.2%,"$5,455.0",17.9%,"$63,675.0",-,"$21,387.0",-,24.7%,8.6%,25.5%,4.17,18.8%,18.2%,14.8%,-9.8%,-1.7%,10.4%,15,162086,Health Care,10,70.5,0.9,10.0,429702,0.2
99,141,southwestairlines,"$21,965.0",3.8%,"$2,465.0",-29.3%,"$26,243.0","$28,690.1",-,"58,803",-,Gary C. Kelly,Chairman &amp; Chief Executive Officer,Transportation,Airlines,"Dallas, Texas",,25,"58,803","$21,965.0",3.8%,"$2,465.0",-29.3%,"$26,243.0",-,"$9,853.0",-,11.2%,9.4%,25.0%,4.29,-25.9%,32.5%,33.4%,-28.3%,20.8%,19.1%,439,30104,Industrials,12,68.0,0.83,7.0,197014,0.17
100,142,aflac,"$21,758.0",0.4%,"$2,920.0",-36.6%,"$140,406.0","$37,442.5",-6,"11,390",-6,Daniel P. Amos,"Chairman, President &amp; Chief Executive Officer",Financials,,"Columbus, Ga.",,25,"11,390","$21,758.0",0.4%,"$2,920.0",-36.6%,"$140,406.0",-,"$23,462.0",-,13.4%,2.1%,12.4%,3.77,-34.7%,2.2%,11.1%,6.2%,9.0%,10.0%,199,27204,Financials,13,65.0,0.69,11.0,266368,0.15
101,144,autonation,"$21,412.8",-0.6%,$396.0,-8.9%,"$10,665.1","$3,216.9",-7,"26,000",-7,Cheryl Miller,Chief Executive Officer &amp; Director,Retailing,"Automotive Retailing, Services","Fort Lauderdale, Fla.",,22,"26,000","$21,412.8",-0.6%,$396.0,-8.9%,"$10,665.1",-,"$2,716.0",-,1.8%,3.7%,14.6%,4.34,-2.0%,7.4%,-,-30.5%,-6.4%,13.7%,63,6990,Consumer Discretionary,9,55.0,0.89,5.0,332850,0.11
102,145,cbregroup,"$21,340.1",50.2%,"$1,063.2",53.8%,"$13,456.8","$16,607.0",61,"90,000",61,Robert E. Sulentic,"President, Chief Executive Officer &amp; Director",Financials,Real estate,"Los Angeles, Calif.",,12,"90,000","$21,340.1",50.2%,"$1,063.2",53.8%,"$13,456.8",-,"$4,938.8",-,5.0%,7.9%,21.5%,3.1,52.7%,26.7%,-,-7.6%,8.8%,24.9%,329,12420,Financials,11,71.0,0.73,11.0,234972,0.09
103,147,whirlpool,"$21,037.0",-1.0%,$-183.0,-152.3%,"$18,347.0","$8,454.6",-8,"92,000",-8,Marc R. Bitzer,"Chairman, President &amp; Chief Executive Officer",Industrials,"Electronics, Electrical Equip.","Benton Harbor, Mich.",,65,"92,000","$21,037.0",-1.0%,$-183.0,-152.3%,"$18,347.0",-,"$2,291.0",-,-0.9%,-1.0%,-8.0%,-2.72,-157.9%,-,-,-34.5%,-5.1%,12.8%,272,12521,Consumer Discretionary,12,61.0,0.75,5.5,249145,0.17
104,148,mcdonald's,"$21,025.2",-7.9%,"$5,924.3",14.1%,"$32,811.2","$145,333.8",-18,"210,000",-18,Christopher J. Kempczinski,"President, Chief Executive Officer &amp; Director","Hotels, Restaurants &amp; Leisure",Food Services,"Chicago, Ill.",,25,"210,000","$21,025.2",-7.9%,"$5,924.3",14.1%,"$32,811.2",-,"$-6,258.4",-,28.2%,18.1%,-,7.54,18.4%,6.3%,7.2%,5.8%,16.2%,14.5%,257,103071,Consumer Discretionary,15,61.0,1.0,10.0,253974,0.27
105,149,broadcom,"$20,848.0",18.1%,"$12,259.0",624.5%,"$50,124.0","$119,034.7",-,"15,000",-,,,,,,,,,,,,,,,,,,,,,,,,,,,26,31302,Information Technology,9,63.0,0.78,7.0,385673,0.22
106,150,marriottinternational,"$20,758.0",-9.3%,"$1,907.0",39.0%,"$23,696.0","$42,117.1",-24,"176,000",-24,Arne M. Sorenson,"President, Chief Executive Officer &amp; Director","Hotels, Restaurants &amp; Leisure","Hotels, Casinos, Resorts","Bethesda, Md.",,21,"176,000","$20,758.0",-9.3%,"$1,907.0",39.0%,"$23,696.0",-,"$2,225.0",-,9.2%,8.0%,85.7%,5.38,49.0%,21.9%,18.6%,-19.0%,18.6%,21.0%,400,19742,Consumer Discretionary,11,60.0,0.73,7.0,215018,0.36
