,Company,Market Value (M),rank_change1000,employees,rank_change500,CEO,CEO Title,Sector,Industry_x,HQ Location,Website,Years on Fortune 500 List,Employees,Revenues ($M),Revenues ($M)Growth,Profits ($M),Profits ($M)Growth,Assets ($M),Assets ($M)Growth,Total Stockholder Equity ($M),Total Stockholder Equity ($M)Growth,Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2017),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2018),"Total Return to Investors (5 year, annualized)","Total Return to Investors (10 year, annualized)",Market Cap (M),Industry_y,No_Directors,Median_age,Board_Independance,Median_Tenure,Median_pay,women_on_board,GD_CEO,GD_Approval,GD CEO Rank,HBR CEO Rank,HBR_CEO,HBR_Industry,HBR_Country,HBR_YearStarted,HBR_Insider,HBR_MBA,HBR_finrank,HBR_sustainalytics,HBR_csrhub,HBR Ranked,GD Ranked,GD & HBR Ranked,MarketSize: < 250 million,"MarketSize: 250 ~ 1,000 million","MarketSize: 1,001 ~ 5,000 million","MarketSize: 5,001 ~ 50,000 million",MarketSize: 50 Billion +,Aerospace & Defense,Apparel,Business Services,Chemicals,Energy,Engineering & Construction,Financials,Food & Drug Stores,"Food, Beverages & Tobacco",Health Care,"Hotels, Restaurants & Leisure",Household Products,Industrials,Materials,Media,Motor Vehicles & Parts,Retailing,Technology,Telecommunications,Transportation,Wholesalers,State,Region,Midwest,Northeast,South,West,Division,East North Central,East South Central,Middle Atlantic,Mountain,New England,Pacific,South Atlantic,West North Central,West South Central
250,reinsurancegroupofamerica,8922.0,-17.0,2767.0,-17.0,Anna Manning,"President, Chief Executive Officer &amp; Director",Financials,,"Chesterfield, Mo.",,10.0,2767.0,12875.7,2.9,715.8,-60.7,64535.2,,8450.6,,5.6,1.1,8.5,11.0,-60.3,13.7,15.0,-8.7,14.3,14.1,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missouri,Midwest,1,0,0,0,West North Central,0,0,0,0,0,0,0,1,0
251,vf,34382.1,-10.0,69000.0,-10.0,Steven E. Rendle,"Chairman, President &amp; Chief Executive Officer",Apparel,Apparel,"Greensboro, N.C.",,50.0,69000.0,12862.3,3.7,658.6,7.1,10311.3,,3688.1,,5.1,6.4,17.9,1.64,7.9,-9.6,1.9,-1.3,5.1,20.8,28739.0,Consumer Discretionary,12.0,59.0,0.83,7.5,223009.0,0.17,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Carolina,South,0,0,1,0,South Atlantic,0,0,0,0,0,0,1,0,0
252,discoverfinancialservices,23215.1,10.0,16600.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24033.0,Financials,11.0,61.0,0.91,8.0,231362.0,0.27,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0
253,globalpartners,668.4,77.0,2500.0,77.0,Eric Slifka,"President, Chief Executive Officer &amp; Director",Wholesalers,,"Waltham, Mass.",,13.0,2500.0,12672.6,42.1,103.9,76.9,2424.3,,497.3,,0.8,4.3,20.9,2.95,69.5,15.7,7.7,7.8,-6.0,13.5,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Massachusetts,Northeast,0,1,0,0,New England,0,0,0,0,1,0,0,0,0
254,edisoninternational,20174.2,-11.0,12574.0,-11.0,Pedro J. Pizarro,"President, Chief Executive Officer &amp; Director",Energy,,"Rosemead, Calif.",,25.0,12574.0,12657.0,2.7,-423.0,-174.9,56715.0,,10459.0,,-3.3,-0.7,-4.0,-1.3,-175.6,,,-6.9,7.2,9.2,19718.0,Utilities,9.0,63.0,0.78,5.0,247697.0,0.33,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,California,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
255,oneok,28746.9,-7.0,2684.0,-7.0,Terry K. Spencer,"President, Chief Executive Officer &amp; Director",Energy,Pipelines,"Tulsa, Okla.",,17.0,2684.0,12593.2,3.4,1151.7,197.0,18231.7,,6579.5,,9.1,6.3,17.5,2.78,115.5,17.0,6.5,6.2,5.5,20.9,7094.0,Energy,10.0,64.0,0.8,10.0,200054.0,0.2,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oklahoma,South,0,0,1,0,West South Central,0,0,0,0,0,0,0,0,1
256,murphyusa,2755.6,22.0,6800.0,22.0,R. Andrew Clyde,"President, Chief Executive Officer &amp; Director",Retailing,,"El Dorado, Ark.",,6.0,6800.0,12524.0,15.4,213.6,-12.9,2360.8,,807.3,,1.7,9.0,26.5,6.48,-4.4,5.2,,-4.6,13.0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Arkansas,South,0,0,1,0,West South Central,0,0,0,0,0,0,0,0,1
257,bedbath&beyond,2335.7,-10.0,65000.0,-10.0,Mark J. Tritton,"President, Chief Executive Officer &amp; Director",Retailing,,"Union, N.J.",,16.0,65000.0,12349.3,1.1,424.9,-38.0,7040.8,,2888.6,,3.4,6.0,14.7,3.04,-33.6,-7.8,3.8,-46.7,-31.6,-7.2,9951.0,Consumer Discretionary,10.0,60.0,0.7,14.0,202500.0,0.2,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,New Jersey,Northeast,0,1,0,0,Middle Atlantic,0,0,1,0,0,0,0,0,0
258,consolidatededison,27230.6,-4.0,15307.0,-4.0,John J. McAvoy,"Chairman, President &amp; Chief Executive Officer",Energy,,"New York, N.Y.",,25.0,15307.0,12337.0,2.5,1382.0,-9.4,53920.0,,16726.0,,11.2,2.6,8.3,4.42,-10.5,4.1,0.1,-6.6,10.9,11.7,19256.0,Utilities,10.0,64.0,0.8,8.5,249332.0,0.2,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,Northeast,0,1,0,0,Middle Atlantic,0,0,1,0,0,0,0,0,0
259,csx,60805.2,5.0,22475.0,5.0,James M. Foote,"President, Chief Executive Officer &amp; Director",Transportation,Railroads,"Jacksonville, Fla.",,25.0,22475.0,12250.0,7.4,3309.0,-39.5,36729.0,,12563.0,,27.0,9.0,26.3,3.84,-35.9,16.0,13.2,14.5,19.0,21.6,26313.0,Industrials,12.0,65.5,0.92,9.0,273659.0,0.17,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Florida,South,0,0,1,0,South Atlantic,0,0,0,0,0,0,1,0,0
260,jcpenney,471.4,-26.0,95000.0,-26.0,Jill A. Soltau,Chief Executive Officer &amp; Director,Retailing,General Merchandisers,"Plano, Texas",,25.0,95000.0,12019.0,-3.9,-255.0,,7721.0,,1170.0,,-2.1,-3.3,-21.8,-0.81,,,,-67.1,-35.3,-24.8,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Texas,South,0,0,1,0,West South Central,0,0,0,0,0,0,0,0,1
261,lkq,8926.4,38.0,51000.0,38.0,Dominick P. Zarcone,"President, Chief Executive Officer &amp; Director",Wholesalers,,"Chicago, Ill.",,6.0,51000.0,11876.7,20.6,480.1,-10.0,11393.4,,4782.3,,4.0,4.2,10.0,1.52,-11.6,8.3,15.7,-41.7,-6.3,15.1,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Illinois,Midwest,1,0,0,0,East North Central,1,0,0,0,0,0,0,0,0
262,firstenergy,22059.6,-44.0,12494.0,-44.0,Charles E. Jones,"President, Chief Executive Officer &amp; Director",Energy,,"Akron, Ohio",,24.0,12494.0,11864.0,-12.9,1348.0,,40063.0,,6814.0,,11.4,3.4,19.8,1.99,,16.2,-7.6,27.7,7.2,2.3,13198.0,Utilities,13.0,66.0,0.92,4.0,221761.0,0.15,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ohio,Midwest,1,0,0,0,East North Central,1,0,0,0,0,0,0,0,0
263,steeldynamics,7862.8,48.0,8200.0,48.0,Mark D. Millett,"President, Chief Executive Officer &amp; Director",Materials,Metals,"Fort Wayne, Ind.",,10.0,8200.0,11821.8,23.9,1258.4,54.8,7703.6,,3935.1,,10.6,16.3,32.0,5.35,59.2,45.2,8.4,-29.2,11.4,13.1,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Indiana,Midwest,1,0,0,0,East North Central,1,0,0,0,0,0,0,0,0
264,lithiamotors,2147.0,29.0,13643.0,29.0,Bryan B. DeBoer,"President, Chief Executive Officer &amp; Director",Retailing,"Automotive Retailing, Services","Medford, Ore.",,5.0,13643.0,11821.4,17.2,265.7,8.4,5384.0,,1197.2,,2.2,4.9,22.2,10.86,11.4,21.8,,-32.0,2.9,38.5,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Oregon,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
265,mgmresortsinternational,13777.3,14.0,74500.0,14.0,James J. Murren,Chairman &amp; Chief Executive Officer,"Hotels, Restaurants &amp; Leisure","Hotels, Casinos, Resorts","Las Vegas, Nev.",,19.0,74500.0,11763.1,9.2,466.8,-76.2,30210.7,,6512.3,,4.0,1.5,7.2,0.81,-75.8,,,-26.2,1.2,6.2,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Nevada,West,0,0,0,1,Mountain,0,0,0,1,0,0,0,0,0
266,tenneco,1793.2,53.0,81000.0,53.0,,Chairman &amp; Chief Executive Officer,Motor Vehicles &amp; Parts,Motor Vehicles and Parts,"Lake Forest, Ill.",,54.0,81000.0,11763.0,26.8,55.0,-73.4,13232.0,,1726.0,,0.5,0.4,3.2,0.93,-76.2,-20.7,,-52.0,-12.8,25.5,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Illinois,Midwest,1,0,0,0,East North Central,1,0,0,0,0,0,0,0,0
267,nvidia,108813.4,38.0,13277.0,38.0,Jen-Hsun Huang,Chairman &amp; Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",,3.0,13277.0,11716.0,20.6,4141.0,35.9,13292.0,,9342.0,,35.3,31.2,44.3,6.63,37.6,55.0,,-30.8,54.3,33.4,15291.0,Information Technology,12.0,59.0,0.92,13.5,300726.0,0.17,Jen-Hsun Huang,0.96,18.0,1.0,Jensen Huang,Information Technology,United States,1993.0,1.0,0.0,4.0,101.0,179.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,California,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
268,sempraenergy,34508.6,2.0,16823.0,2.0,J. Walker Martin,Chairman &amp; Chief Executive Officer,Energy,,"San Diego, Calif.",,21.0,16823.0,11687.0,4.3,1049.0,309.8,60638.0,,14853.0,,9.0,1.7,7.1,3.42,238.6,-3.1,-2.6,4.4,6.8,13.2,25389.0,Utilities,13.0,67.0,0.92,5.0,268250.0,0.23,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,California,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
269,farmersinsuranceexchange,,-17.0,12740.0,-17.0,Jeffrey J. Dailey,"President, Chief Executive Officer &amp; Director",Financials,,"Woodland Hills, Calif.",,5.0,12740.0,11650.4,-3.5,-70.5,,17016.3,,4096.3,,-0.6,-0.4,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,California,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
270,ball,19335.0,6.0,17500.0,6.0,John A. Hayes,"Chairman, President &amp; Chief Executive Officer",Materials,"Packaging, Containers","Broomfield, Colo.",,42.0,17500.0,11635.0,5.9,454.0,21.4,16554.0,,3458.0,,3.9,2.7,13.1,1.29,22.9,-1.1,4.6,22.6,13.2,17.0,9337.0,Materials,9.0,68.0,0.67,10.0,254952.0,0.11,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Colorado,West,0,0,0,1,Mountain,0,0,0,1,0,0,0,0,0
271,group1automotive,1186.6,1.0,14570.0,1.0,Earl J. Hesterberg,"President, Chief Executive Officer &amp; Director",Retailing,"Automotive Retailing, Services","Houston, Texas",,19.0,14570.0,11601.4,4.3,157.8,-26.1,5001.1,,1095.7,,1.4,3.2,14.4,7.83,-22.3,12.6,,-24.5,-4.6,18.4,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Texas,South,0,0,1,0,West South Central,0,0,0,0,0,0,0,0,1
272,unum,7260.8,-6.0,9600.0,-6.0,Richard P. McKenney,"President, Chief Executive Officer &amp; Director",Financials,,"Chattanooga, Tenn.",,24.0,9600.0,11598.5,2.8,523.4,-47.4,61875.6,,8621.8,,4.5,0.8,6.1,2.38,-45.5,-5.9,3.9,-45.1,-1.5,6.8,8435.0,Financials,15.0,60.0,0.87,9.0,246054.0,0.2,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tennessee,South,0,0,1,0,East South Central,0,1,0,0,0,0,0,0,0
273,xcelenergy,28903.8,-8.0,11068.0,-8.0,Benjamin G.S. Fowke III,"Chairman, President &amp; Chief Executive Officer",Energy,,"Minneapolis, Minn.",,23.0,11068.0,11537.0,1.2,1261.0,9.8,45987.0,,12222.0,,10.9,2.7,10.3,2.47,9.8,5.3,5.4,5.8,15.9,14.6,18071.0,Utilities,12.0,61.0,0.75,6.0,231658.0,0.25,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Minnesota,Midwest,1,0,0,0,West North Central,0,0,0,0,0,0,0,1,0
274,reliancesteel&aluminum,6054.5,30.0,15600.0,30.0,James D. Hoffman,"President, Chief Executive Officer &amp; Director",Materials,Metals,"Los Angeles, Calif.",,13.0,15600.0,11534.5,18.7,633.7,3.3,8044.9,,4671.6,,5.5,7.9,13.6,8.75,4.9,16.1,2.9,-15.1,1.1,15.7,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,California,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
275,huntsman,5251.9,6.0,10000.0,6.0,Peter R. Huntsman,"Chairman, President &amp; Chief Executive Officer",Chemicals,Chemicals,"The Woodlands, Texas",,14.0,10000.0,11527.0,8.8,337.0,-47.0,7953.0,,2520.0,,2.9,4.2,13.4,1.39,-46.7,21.3,-6.1,-40.6,-2.2,22.7,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas,South,0,0,1,0,West South Central,0,0,0,0,0,0,0,0,1
276,norfolksouthern,49860.3,7.0,26662.0,7.0,James A. Squires,"Chairman, President &amp; Chief Executive Officer",Transportation,Railroads,"Norfolk, Va.",,25.0,26662.0,11458.0,8.6,2666.0,-50.7,36239.0,,15362.0,,23.3,7.4,17.4,9.51,-48.9,9.5,7.7,5.2,12.5,15.1,23894.0,Industrials,13.0,63.0,0.85,4.0,276324.0,0.15,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Virginia,South,0,0,1,0,South Atlantic,0,0,0,0,0,0,1,0,0
277,laboratorycorpofamerica,15095.8,8.0,61000.0,8.0,Adam H. Schechter,President &amp; Chief Executive Officer,Health Care,,"Burlington, N.C.",,10.0,61000.0,11333.4,8.5,883.7,-30.3,16185.3,,6971.4,,7.8,5.5,12.7,8.61,-29.5,6.6,7.5,-20.8,6.7,7.0,12421.0,Health Care,9.0,59.0,0.89,8.0,239939.0,0.11,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,North Carolina,South,0,0,1,0,South Atlantic,0,0,0,0,0,0,1,0,0
278,corning,25990.7,14.0,51500.0,14.0,Wendell P. Weeks,"Chairman, President &amp; Chief Executive Officer",Industrials,"Electronics, Electrical Equip.","Corning, N.Y.",,64.0,51500.0,11290.0,11.6,1066.0,,27505.0,,13792.0,,9.4,3.9,7.7,1.13,,-3.4,-10.2,-3.3,13.7,14.5,22003.0,Information Technology,14.0,65.0,0.79,5.5,272495.0,0.21,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,New York,Northeast,0,1,0,0,Middle Atlantic,0,0,1,0,0,0,0,0,0
279,expedia,17515.6,15.0,24500.0,15.0,Mark D. Okerstrom,"President, Chief Executive Officer &amp; Director",Retailing,Internet Services and Retailing,"Bellevue, Wash.",,5.0,24500.0,11223.0,11.6,406.0,7.4,18033.0,,4104.0,,3.6,2.3,9.9,2.65,9.5,9.7,,-5.0,11.1,31.6,17697.0,Consumer Discretionary,10.0,70.5,0.5,10.0,324953.0,0.1,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Washington,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
280,autozone,25487.9,-3.0,72450.0,-3.0,William C. Rhodes III,"Chairman, President &amp; Chief Executive Officer",Retailing,,"Memphis, Tenn.",,21.0,72450.0,11221.1,3.1,1337.5,4.4,9347.0,,-1520.4,,11.9,14.3,,48.77,10.7,11.9,17.1,17.8,11.9,19.6,23912.0,Consumer Discretionary,11.0,57.0,0.82,9.0,208156.0,0.18,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Tennessee,South,0,0,1,0,East South Central,0,1,0,0,0,0,0,0,0
281,wwgrainger,16732.7,5.0,23850.0,5.0,DG Macpherson,Chairman &amp; Chief Executive Officer,Wholesalers,,"Lake Forest, Ill.",,25.0,23850.0,11221.0,7.6,782.0,33.5,5873.0,,1921.0,,7.0,13.3,40.7,13.73,37.0,4.3,8.6,21.6,4.1,15.8,13185.0,Industrials,11.0,62.0,0.91,10.0,218337.0,0.09,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Illinois,Midwest,1,0,0,0,East North Central,1,0,0,0,0,0,0,0,0
282,quantaservices,5336.2,33.0,39200.0,33.0,Earl C. Austin Jr.,"President, Chief Executive Officer &amp; Director",Engineering &amp; Construction,"Engineering, Construction","Houston, Texas",,7.0,39200.0,11171.4,18.0,293.3,-6.9,7075.8,,3604.2,,2.6,4.1,8.1,1.9,-5.0,0.3,8.0,-23.0,-0.9,4.3,4028.0,Industrials,10.0,61.0,0.9,10.0,230564.0,0.1,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas,South,0,0,1,0,West South Central,0,0,0,0,0,0,0,0,1
283,crownholdings,7384.9,54.0,33429.0,54.0,Timothy J. Donahue,"President, Chief Executive Officer &amp; Director",Materials,"Packaging, Containers","Yardley, Pa.",,65.0,33429.0,11151.0,28.2,439.0,35.9,15262.0,,937.0,,3.9,2.9,46.9,3.28,37.8,7.4,9.0,-26.1,-1.4,8.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pennsylvania,Northeast,0,1,0,0,Middle Atlantic,0,0,1,0,0,0,0,0,0
284,officedepot,1971.9,-4.0,44000.0,-4.0,Gerry P. Smith,Chief Executive Officer &amp; Director,Retailing,,"Boca Raton, Fla.",,25.0,44000.0,11130.0,3.5,104.0,-42.5,6166.0,,2126.0,,0.9,1.7,4.9,0.19,-44.1,,,-24.5,-12.1,-0.7,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Florida,South,0,0,1,0,South Atlantic,0,0,0,0,0,0,1,0,0
285,baxterinternational,41558.9,-3.0,50000.0,-3.0,,"Chairman, President &amp; Chief Executive Officer",Health Care,Medical Products and Equipment,"Deerfield, Ill.",,49.0,50000.0,11127.0,5.4,1624.0,126.5,15641.0,,7794.0,,14.6,10.4,20.8,2.97,130.2,-4.1,-0.6,2.8,13.4,10.6,20453.0,Health Care,15.0,67.5,0.87,11.0,292834.0,0.2,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Illinois,Midwest,1,0,0,0,East North Central,1,0,0,0,0,0,0,0,0
286,lamresearch,27315.8,67.0,10900.0,67.0,Timothy M. Archer,"President, Chief Executive Officer &amp; Director",Technology,Semiconductors and Other Electronic Components,"Fremont, Calif.",,4.0,10900.0,11077.0,38.2,2380.7,40.2,12479.5,,6501.9,,21.5,19.1,36.6,13.17,42.5,82.0,14.3,-24.0,21.9,21.3,12131.0,Information Technology,11.0,61.0,0.82,4.0,276444.0,0.18,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,California,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
287,entergy,18214.6,-14.0,13688.0,-14.0,Leo P. Denault,Chairman &amp; Chief Executive Officer,Energy,,"New Orleans, La.",,25.0,13688.0,11009.5,-0.6,848.7,106.2,48275.1,,8844.3,,7.7,1.8,9.6,4.63,103.1,3.0,-2.9,10.5,11.2,5.0,12236.0,Utilities,13.0,66.0,0.85,10.0,232669.0,0.31,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Louisiana,South,0,0,1,0,West South Central,0,0,0,0,0,0,0,0,1
288,charlesschwab,57051.3,41.0,19500.0,41.0,Walter W. Bettinger II,"President, Chief Executive Officer &amp; Director",Financials,Securities,"San Francisco, Calif.",,21.0,19500.0,10989.0,22.6,3507.0,49.0,296482.0,,20670.0,,31.9,1.2,17.0,2.45,52.2,25.7,8.8,-18.4,10.7,11.2,40152.0,Financials,15.0,67.0,0.8,12.0,257066.0,0.13,Walt Bettinger II,0.91,83.0,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,California,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
289,l3technologies,16368.2,-14.0,31000.0,-14.0,Christopher E. Kubasik,"Chairman, President &amp; Chief Executive Officer",Aerospace &amp; Defense,Aerospace and Defense,"New York, N.Y.",,17.0,31000.0,10841.0,-1.5,1005.0,48.4,13518.0,,5839.0,,9.3,7.4,17.2,12.63,48.4,8.9,5.0,-10.8,12.3,11.7,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,Northeast,0,1,0,0,Middle Atlantic,0,0,1,0,0,0,0,0,0
290,nrgenergy,11850.9,-22.0,4862.0,-22.0,Mauricio Gutierrez,"President, Chief Executive Officer &amp; Director",Energy,Energy,"Princeton, N.J.",,13.0,4862.0,10797.0,-4.2,268.0,,10628.0,,-1234.0,,2.5,2.5,,0.87,,,-14.7,39.6,8.3,6.5,4262.0,Utilities,13.0,63.0,0.85,9.0,245002.0,0.08,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New Jersey,Northeast,0,1,0,0,Middle Atlantic,0,0,1,0,0,0,0,0,0
291,livenationentertainment,13400.5,-2.0,16000.0,-2.0,Michael Rapino,"President, Chief Executive Officer &amp; Director",Media,Entertainment,"Beverly Hills, Calif.",,10.0,16000.0,10787.8,4.4,60.2,,8496.9,,1099.0,,0.6,0.7,5.5,-0.09,,,,15.7,20.0,24.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,California,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
292,universalhealthservices,12144.3,-25.0,75650.0,-25.0,Alan B. Miller,Chairman &amp; Chief Executive Officer,Health Care,,"King of Prussia, Pa.",,16.0,75650.0,10772.3,-4.5,779.7,3.6,11265.5,,5389.3,,7.2,6.9,14.5,8.31,6.4,10.1,15.5,3.2,7.8,20.6,12089.0,Health Care,7.0,70.0,0.57,22.0,312240.0,0.14,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pennsylvania,Northeast,0,1,0,0,Middle Atlantic,0,0,1,0,0,0,0,0,0
293,molsoncoorsbrewing,12958.0,-19.0,17750.0,-19.0,Gavin D.K. Hattersley,"President, Chief Executive Officer &amp; Director","Food, Beverages &amp; Tobacco",Beverages,"Denver, Colo.",,28.0,17750.0,10769.6,-2.1,1116.5,-28.7,30109.8,,13507.4,,10.4,3.7,8.3,5.15,-28.8,10.8,9.4,-29.9,2.1,3.8,16313.0,Consumer Staples,14.0,54.0,0.71,5.5,262336.0,0.07,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Colorado,West,0,0,0,1,Mountain,0,0,0,1,0,0,0,0,0
294,ebay,33978.7,14.0,14000.0,14.0,Scott F. Schenkel,Interim Chief Executive Officer,Technology,Internet Services and Retailing,"San Jose, Calif.",,14.0,14000.0,10746.0,12.3,2530.0,,22819.0,,6281.0,,23.5,11.1,40.3,2.55,,3.2,6.5,-25.6,3.7,16.8,33498.0,Information Technology,10.0,55.5,0.7,2.0,292040.0,0.2,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,California,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
