,Company,revenues,rev_perc_change,profit,prof_perc_change,assets,market_value,rank_change1000,employees,rank_change500,CEO,CEO Title,Sector,Industry_x,HQ Location,Website,Years on Fortune 500 List,Employees,Revenues ($M),Revenues ($M)Growth,Profits ($M),Profits ($M)Growth,Assets ($M),Assets ($M)Growth,Total Stockholder Equity ($M),Total Stockholder Equity ($M)Growth,Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2017),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2018),"Total Return to Investors (5 year, annualized)","Total Return to Investors (10 year, annualized)",Unnamed: 0_y,Market Cap,Industry_y,No_Directors,Median_age,Board_Independance,Median_Tenure,Median_pay,women_on_board,GD_CEO,GD_Approval,GD CEO Rank,HBR CEO Rank,HBR_CEO,HBR_Industry,HBR_Country,HBR_YearStarted,HBR_Insider,HBR_MBA,HBR_finrank,HBR_sustainalytics,HBR_csrhub
293,molsoncoorsbrewing,"$10,769.6",-2.1%,"$1,116.5",-28.7%,"$30,109.8","$12,958.0",-19,"17,750",-19,Gavin D.K. Hattersley,"President, Chief Executive Officer &amp; Director","Food, Beverages &amp; Tobacco",Beverages,"Denver, Colo.",,28,"17,750","$10,769.6",-2.1%,"$1,116.5",-28.7%,"$30,109.8",-,"$13,507.4",-,10.4%,3.7%,8.3%,5.15,-28.8%,10.8%,9.4%,-29.9%,2.1%,3.8%,217.0,16313.0,Consumer Staples,14.0,54.0,0.71,5.5,262336.0,0.07,,,,,,,,,,,,,
294,ebay,"$10,746.0",12.3%,"$2,530.0",-,"$22,819.0","$33,978.7",14,"14,000",14,Scott F. Schenkel,Interim Chief Executive Officer,Technology,Internet Services and Retailing,"San Jose, Calif.",,14,"14,000","$10,746.0",12.3%,"$2,530.0",-,"$22,819.0",-,"$6,281.0",-,23.5%,11.1%,40.3%,2.55,-,3.2%,6.5%,-25.6%,3.7%,16.8%,133.0,33498.0,Information Technology,10.0,55.5,0.7,2.0,292040.0,0.2,,,,,,,,,,,,,
295,aes,"$10,736.0",-22.5%,"$1,203.0",-,"$32,521.0","$11,975.4",-82,"9,000",-82,,"President, Chief Executive Officer &amp; Director",Energy,,"Arlington, Va.",,19,"9,000","$10,736.0",-22.5%,"$1,203.0",-,"$32,521.0",-,"$3,208.0",-,11.2%,3.7%,37.5%,1.81,-,64.6%,-0.1%,39.0%,3.4%,7.8%,182.0,7476.0,Utilities,10.0,60.5,0.9,4.0,272500.0,0.2,,,,,,,,,,,,,
296,devonenergy,"$10,734.0",-23.0%,"$3,064.0",241.2%,"$19,566.0","$13,832.7",-84,"2,880",-84,David A. Hager,"President, Chief Executive Officer &amp; Director",Energy,"Mining, Crude-Oil Production","Oklahoma City, Okla.",,18,"2,880","$10,734.0",-23.0%,"$3,064.0",241.2%,"$19,566.0",-,"$9,186.0",-,28.5%,15.7%,33.4%,6.1,258.8%,-,-,-45.0%,-17.2%,-9.0%,51.0,17233.0,Energy,9.0,63.0,0.67,6.0,338001.0,0.22,,,,,,,,,,,,,
297,pacificlife,"$10,699.0",12.5%,$913.0,-33.1%,"$157,699.0",-,15,"3,776",15,James T. Morris,"Chairman, President &amp; Chief Executive Officer",Financials,,"Newport Beach, Calif.",,23,"3,776","$10,699.0",12.5%,$913.0,-33.1%,"$157,699.0",-,"$12,177.0",-,8.5%,0.6%,7.5%,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
298,centerpointenergy,"$10,589.0",10.1%,$368.0,-79.5%,"$27,009.0","$15,394.2",9,"7,977",9,Scott M. Prochazka,"President, Chief Executive Officer &amp; Director",Energy,,"Houston, Texas",,25,"7,977","$10,589.0",10.1%,$368.0,-79.5%,"$27,009.0",-,"$8,058.0",-,3.5%,1.4%,4.6%,0.74,-82.1%,0.5%,-5.5%,3.6%,8.6%,13.4%,370.0,7981.0,Utilities,9.0,62.0,0.78,7.0,222717.0,0.22,,,,,,,,,,,,,
299,discovery,"$10,553.0",53.5%,$594.0,-,"$32,550.0","$13,632.8",109,"9,000",109,David M. Zaslav,"President, Chief Executive Officer &amp; Director",Media,Entertainment,"Silver Spring, Md.",,6,"9,000","$10,553.0",53.5%,$594.0,-,"$32,550.0",-,"$8,386.0",-,5.6%,1.8%,7.1%,0.86,-,-10.3%,5.8%,10.5%,-11.4%,13.3%,,,,,,,,,,,,,,,,,,,,,,
300,borgwarner,"$10,529.6",7.5%,$930.7,111.6%,"$10,095.3","$7,974.3",-,"30,000",-,Frederic B. Lissalde,"President, Chief Executive Officer &amp; Director",Motor Vehicles &amp; Parts,Motor Vehicles and Parts,"Auburn Hills, Mich.",,14,"30,000","$10,529.6",7.5%,$930.7,111.6%,"$10,095.3",-,"$4,225.5",-,8.8%,9.2%,22.0%,4.44,113.5%,10.5%,-,-30.9%,-7.9%,13.1%,398.0,9597.0,Consumer Discretionary,10.0,66.5,0.9,7.5,215493.0,0.1,,,,,,,,,,,,,
301,targaresources,"$10,484.0",18.9%,$1.6,-97.0%,"$16,938.2","$9,645.6",32,"2,460",32,Joe Bob Perkins,Chief Executive Officer &amp; Director,Energy,Pipelines,"Houston, Texas",,11,"2,460","$10,484.0",18.9%,$1.6,-97.0%,"$16,938.2",-,"$6,325.1",-,0.0%,0.0%,0.0%,-0.53,-,-,-,-20.0%,-10.7%,-,,,,,,,,,,,,,,,,,,,,,,
302,allyfinancial,"$10,466.0",6.1%,"$1,263.0",36.0%,"$178,869.0","$11,025.3",-4,"8,200",-4,Jeffrey J. Brown,Chief Executive Officer &amp; Director,Financials,Diversified Financials,"Detroit, Mich.",,12,"8,200","$10,466.0",6.1%,"$1,263.0",36.0%,"$178,869.0",-,"$13,268.0",-,12.1%,0.7%,9.5%,2.95,44.6%,-,-,-20.7%,-,-,,,,,,,,,,,,,,,,,,,,,,
303,suntrustbanks,"$10,431.0",7.1%,"$2,775.0",22.1%,"$215,543.0","$26,262.9",-1,"22,899",-1,William H. Rogers Jr.,Chairman &amp; Chief Executive Officer,Financials,Commercial Banks,"Atlanta, Ga.",,25,"22,899","$10,431.0",7.1%,"$2,775.0",22.1%,"$215,543.0",-,"$24,177.0",-,26.6%,1.3%,11.5%,5.74,28.4%,19.0%,10.4%,-19.7%,8.9%,7.1%,395.0,21343.0,Financials,12.0,64.5,0.92,4.5,216500.0,0.17,,,,,,,,,,,,,
304,iqviaholdings,"$10,412.0",6.9%,$259.0,-80.2%,"$22,549.0","$28,280.9",-1,"58,000",-1,Ari Bousbib,"Chairman, President &amp; Chief Executive Officer",Health Care,,"Durham, N.C.",,6,"58,000","$10,412.0",6.9%,$259.0,-80.2%,"$22,549.0",-,"$6,714.0",-,2.5%,1.1%,3.9%,1.24,-78.9%,-6.9%,-,18.7%,20.2%,-,,,,,,,,,,,,,,,,,,,,,,
305,americanfamilyinsurancegroup,"$10,336.2",8.3%,$295.3,89.7%,"$27,502.5",-,5,"11,975",5,Jack C. Salzwedel,Chief Executive Officer &amp; Director,Financials,,"Madison, Wis.",,23,"11,975","$10,336.2",8.3%,$295.3,89.7%,"$27,502.5",-,"$9,006.8",-,2.9%,1.1%,3.3%,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
306,delekusholdings,"$10,265.6",39.7%,$340.1,17.8%,"$5,760.6","$2,821.7",77,"3,717",77,Ezra Uzi Yemin,"Chairman, President &amp; Chief Executive Officer",Energy,Petroleum Refining,"Brentwood, Tenn.",,5,"3,717","$10,265.6",39.7%,$340.1,17.8%,"$5,760.6",-,"$1,632.6",-,3.3%,5.9%,20.8%,3.95,-1.3%,15.0%,-,-5.1%,1.6%,-,,,,,,,,,,,,,,,,,,,,,,
307,navistarinternational,"$10,250.0",19.6%,$340.0,1033.3%,"$7,230.0","$3,199.8",34,"13,100",34,Troy A. Clarke,"Chairman, President &amp; Chief Executive Officer",Industrials,Construction and Farm Machinery,"Lisle, Ill.",,63,"13,100","$10,250.0",19.6%,$340.0,1033.3%,"$7,230.0",-,"$-3,931.0",-,3.3%,4.7%,-,3.41,965.6%,-,6.5%,-39.5%,-7.4%,2.0%,,,,,,,,,,,,,,,,,,,,,,
308,chesapeakeenergy,"$10,231.0",7.7%,$873.0,-8.0%,"$10,947.0","$5,058.3",5,"2,350",5,Robert D. Lawler,"President, Chief Executive Officer &amp; Director",Energy,"Mining, Crude-Oil Production","Oklahoma City, Okla.",,14,"2,350","$10,231.0",7.7%,$873.0,-8.0%,"$10,947.0",-,$344.0,-,8.5%,8.0%,253.8%,0.85,-5.6%,3.1%,-2.9%,-47.0%,-39.1%,-17.2%,36.0,4744.0,Energy,10.0,62.5,0.9,2.5,361541.0,0.1,,,,,,,,,,,,,
309,unitednaturalfoods,"$10,226.7",10.3%,$165.7,27.3%,"$2,964.5",$671.8,9,"10,000",9,Steven L. Spinner,Chairman &amp; Chief Executive Officer,Wholesalers,,"Providence, R.I.",,7,"10,000","$10,226.7",10.3%,$165.7,27.3%,"$2,964.5",-,"$1,846.0",-,1.6%,5.6%,9.0%,3.26,27.3%,8.4%,11.2%,-78.5%,-32.5%,-5.1%,,,,,,,,,,,,,,,,,,,,,,
310,leidosholdings,"$10,194.0",0.2%,$581.0,58.7%,"$8,770.0","$9,205.1",-19,"32,000",-19,Roger A. Krone,Chairman &amp; Chief Executive Officer,Technology,Information Technology Services,"Reston, Va.",,19,"32,000","$10,194.0",0.2%,$581.0,58.7%,"$8,770.0",-,"$3,308.0",-,5.7%,6.6%,17.6%,3.8,59.7%,14.4%,-0.5%,-16.6%,11.7%,5.5%,,,,,,,,,,,,,,,,,,,,,,
311,pultegroup,"$10,188.3",18.8%,"$1,022.0",128.5%,"$10,173.0","$7,758.4",29,"5,086",29,Ryan R. Marshall,"President, Chief Executive Officer &amp; Director",Engineering &amp; Construction,Homebuilders,"Atlanta, Ga.",,17,"5,086","$10,188.3",18.8%,"$1,022.0",128.5%,"$10,173.0",-,"$4,817.8",-,10.0%,10.0%,21.2%,3.55,146.5%,-12.0%,-,-20.8%,6.5%,10.0%,230.0,6399.0,Consumer Discretionary,9.0,57.0,0.89,7.0,260000.0,0.22,,,,,,,,,,,,,
312,eastmanchemical,"$10,151.0",6.3%,"$1,080.0",-22.0%,"$15,995.0","$10,531.1",-3,"14,595",-3,Mark J. Costa,Chairman &amp; Chief Executive Officer,Chemicals,Chemicals,"Kingsport, Tenn.",,25,"14,595","$10,151.0",6.3%,"$1,080.0",-22.0%,"$15,995.0",-,"$5,803.0",-,10.6%,6.8%,18.6%,7.56,-20.2%,0.3%,12.8%,-19.3%,0.3%,19.5%,292.0,10724.0,Materials,11.0,62.0,0.91,9.0,244061.0,0.18,,,,,,,,,,,,,
313,republicservices,"$10,040.9",-0.0%,"$1,036.9",-18.9%,"$21,617.0","$25,851.5",-18,"36,000",-18,Donald W. Slager,"President, Chief Executive Officer &amp; Director",Business Services,Waste Management,"Phoenix, Ariz.",,10,"36,000","$10,040.9",-0.0%,"$1,036.9",-18.9%,"$21,617.0",-,"$7,927.1",-,10.3%,4.8%,13.1%,3.16,-16.2%,14.3%,23.9%,8.9%,19.7%,14.3%,53.0,15188.0,Industrials,10.0,62.0,0.9,6.5,337200.0,0.1,,,,,,,,,,,,,
314,mohawkindustries,"$9,983.6",5.2%,$861.7,-11.3%,"$13,099.1","$9,121.9",-,"42,100",-,Jeffrey S. Lorberbaum,Chairman &amp; Chief Executive Officer,Household Products,"Home Equipment, Furnishings","Calhoun, Ga.",,20,"42,100","$9,983.6",5.2%,$861.7,-11.3%,"$13,099.1",-,"$7,433.8",-,8.6%,6.6%,11.6%,11.47,-11.6%,18.9%,-,-57.6%,-4.7%,10.5%,456.0,14449.0,Consumer Discretionary,9.0,63.0,0.67,10.0,184685.0,0.11,,,,,,,,,,,,,
315,sonicautomotive,"$9,951.6",0.9%,$51.7,-44.5%,"$3,796.8",$636.7,-18,"9,700",-18,David Bruton Smith,Chief Executive Officer &amp; Director,Retailing,"Automotive Retailing, Services","Charlotte, N.C.",,20,"9,700","$9,951.6",0.9%,$51.7,-44.5%,"$3,796.8",-,$823.1,-,0.5%,1.4%,6.3%,1.2,-42.6%,-4.7%,-,-24.5%,-10.2%,14.3%,,,,,,,,,,,,,,,,,,,,,,
316,owens&minor,"$9,838.7",5.6%,$-437.0,-700.3%,"$3,773.8",$258.4,1,"17,900",1,Edward A. Pesicka,"President, Chief Executive Officer &amp; Director",Health Care,,"Mechanicsville, Va.",,25,"17,900","$9,838.7",5.6%,$-437.0,-700.3%,"$3,773.8",-,$518.4,-,-4.4%,-11.6%,-84.3%,-7.28,-706.7%,-,-,-64.8%,-27.1%,-10.2%,,,,,,,,,,,,,,,,,,,,,,
317,xerox,"$9,830.0",-4.2%,$361.0,85.1%,"$14,874.0","$7,307.6",-27,"32,400",-27,John G. Visentin,Chairman &amp; Chief Executive Officer,Technology,"Computers, Office Equipment","Norwalk, Conn.",,57,"32,400","$9,830.0",-4.2%,$361.0,85.1%,"$14,874.0",-,"$5,005.0",-,3.7%,2.4%,7.2%,1.38,94.4%,-17.6%,2.9%,-29.9%,-7.7%,1.3%,406.0,9506.0,Information Technology,9.0,62.0,0.89,8.0,212500.0,0.44,,,,,,,,,,,,,
318,bostonscientific,"$9,823.0",8.6%,"$1,671.0",1506.7%,"$20,999.0","$53,367.4",9,"32,000",9,Michael F. Mahoney,"Chairman, President &amp; Chief Executive Officer",Health Care,Medical Products and Equipment,"Marlborough, Mass.",,16,"32,000","$9,823.0",8.6%,"$1,671.0",1506.7%,"$20,999.0",-,"$8,726.0",-,17.0%,8.0%,19.1%,1.19,1387.5%,-,-,42.6%,24.1%,16.4%,153.0,24567.0,Health Care,12.0,58.0,0.75,3.5,279991.0,0.25,,,,47.0,Michael Mahoney,Health Care,United States,2012.0,1.0,1.0,48.0,591.0,252.0
319,dcpmidstream,"$9,822.0",16.1%,$298.0,30.1%,"$14,266.0","$4,736.6",24,"2,650",24,Wouter T. van Kempen,"Chairman, President &amp; Chief Executive Officer",Energy,Pipelines,"Denver, Colo.",,2,"2,650","$9,822.0",16.1%,$298.0,30.1%,"$14,266.0",-,"$7,268.0",-,3.0%,2.1%,4.1%,0.61,41.9%,-14.6%,-15.4%,-21.1%,-4.1%,20.5%,,,,,,,,,,,,,,,,,,,,,,
320,autoliv,"$9,801.1",-5.6%,$190.4,-55.4%,"$6,721.6","$6,413.4",-32,"62,091",-32,Mikael Bratt,"President, Chief Executive Officer &amp; Director",Motor Vehicles &amp; Parts,Motor Vehicles and Parts,"Auburn Hills, Mich.",,21,"62,091","$9,801.1",-5.6%,$190.4,-55.4%,"$6,721.6",-,"$1,883.7",-,1.9%,2.8%,10.1%,2.18,-55.2%,-15.5%,-0.4%,-21.2%,3.4%,18.9%,,,,,,,,,,,,,,,,,,,,,,
321,interpublicgroup,"$9,714.4",23.2%,$618.9,6.9%,"$15,620.3","$8,087.0",37,"54,000",37,Michael I. Roth,Chairman &amp; Chief Executive Officer,Business Services,"Advertising, marketing","New York, N.Y.",,22,"54,000","$9,714.4",23.2%,$618.9,6.9%,"$15,620.3",-,"$2,393.2",-,6.4%,4.0%,25.9%,1.59,8.9%,21.1%,11.8%,6.2%,6.0%,20.4%,,,,,,,,,,,,,,,,,,,,,,
322,publicserviceenterprisegroup,"$9,696.0",6.7%,"$1,438.0",-8.6%,"$45,326.0","$30,002.0",4,"13,145",4,Ralph Izzo,"Chairman, President &amp; Chief Executive Officer",Energy,,"Newark, N.J.",,25,"13,145","$9,696.0",6.7%,"$1,438.0",-8.6%,"$45,326.0",-,"$14,377.0",-,14.8%,3.2%,10.0%,2.83,-8.7%,2.9%,1.9%,4.6%,14.3%,10.3%,330.0,20887.0,Utilities,10.0,69.0,0.9,10.5,234529.0,0.2,,,,,,,,,,,,,
323,pvh,"$9,656.8",8.3%,$746.4,38.8%,"$11,863.7","$9,164.1",8,"29,350",8,Emanuel Chirico,Chairman &amp; Chief Executive Officer,Apparel,Apparel,"New York, N.Y.",,29,"29,350","$9,656.8",8.3%,$746.4,38.8%,"$11,863.7",-,"$5,827.8",-,7.7%,6.3%,12.8%,9.65,41.1%,40.9%,18.6%,-32.2%,-7.2%,16.8%,362.0,7507.0,Consumer Discretionary,10.0,58.0,0.9,8.0,225222.0,0.2,,,,,,,,,,,,,
324,mosaic,"$9,587.3",29.4%,$470.0,-,"$20,119.2","$10,527.2",57,"13,600",57,,"President, Chief Executive Officer &amp; Director",Chemicals,Chemicals,"Plymouth, Minn.",,14,"13,600","$9,587.3",29.4%,$470.0,-,"$20,119.2",-,"$10,397.3",-,4.9%,2.3%,4.5%,1.22,-,-22.7%,-12.6%,14.2%,-7.0%,0.1%,260.0,11911.0,Materials,12.0,59.5,0.83,5.5,252196.0,0.17,,,,,,,,,,,,,
325,advanceautoparts,"$9,580.6",2.2%,$423.8,-10.9%,"$9,040.6","$12,221.9",-9,"55,500",-9,Thomas R. Greco,"President, Chief Executive Officer &amp; Director",Retailing,,"Raleigh, N.C.",,17,"55,500","$9,580.6",2.2%,$423.8,-10.9%,"$9,040.6",-,"$3,550.8",-,4.4%,4.7%,11.9%,5.73,-10.7%,1.5%,8.6%,58.2%,7.5%,17.0%,371.0,14528.0,Consumer Discretionary,12.0,57.5,0.58,6.5,222500.0,0.17,,,,,,,,,,,,,
326,alticeusa,"$9,566.6",2.6%,$18.8,-98.8%,"$33,613.8","$14,708.0",-,"11,993",-,Dexter G. Goei,Chief Executive Officer &amp; Director,Telecommunications,Telecommunications,"Long Island City, N.Y.",,19,"11,993","$9,566.6",2.6%,$18.8,-98.8%,"$33,613.8",-,"$3,670.9",-,0.2%,0.1%,0.5%,0.03,-98.6%,-,-,-14.3%,-,-,,,,,,,,,,,,,,,,,,,,,,
327,hormelfoods,"$9,545.7",4.1%,"$1,012.1",19.5%,"$8,142.3","$23,976.8",-5,"20,100",-5,James P. Snee,"Chairman, President &amp; Chief Executive Officer","Food, Beverages &amp; Tobacco",Food Consumer Products,"Austin, Minn.",,65,"20,100","$9,545.7",4.1%,"$1,012.1",19.5%,"$8,142.3",-,"$5,600.8",-,10.6%,12.4%,18.1%,1.86,18.5%,13.8%,13.6%,19.6%,15.6%,20.7%,297.0,17868.0,Consumer Staples,15.0,58.0,0.8,6.0,241810.0,0.27,,,,,,,,,,,,,
328,o'reillyautomotive,"$9,536.4",6.2%,"$1,324.5",16.8%,"$7,980.8","$30,438.4",-,"64,325",-,Gregory D. Johnson,"President, Chief Executive Officer &amp; Director",Retailing,,"Springfield, Mo.",,10,"64,325","$9,536.4",6.2%,"$1,324.5",16.8%,"$7,980.8",-,$353.7,-,13.9%,16.6%,374.5%,16.1,27.1%,21.7%,27.0%,43.1%,21.8%,27.3%,463.0,27270.0,Consumer Discretionary,9.0,68.0,0.56,18.0,176268.0,0.11,,,,,,,,,,,,,
329,calpine,"$9,512.0",8.7%,$10.0,-,"$16,062.0",-,6,"2,282",6,John B. Hill III,"President, Chief Executive Officer &amp; Director",Energy,Energy,"Houston, Texas",,18,"2,282","$9,512.0",8.7%,$10.0,-,"$16,062.0",-,"$2,963.0",-,0.1%,0.1%,0.3%,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
330,hertzglobalholdings,"$9,504.0",8.0%,$-225.0,-168.8%,"$21,382.0","$1,457.8",4,"38,000",4,Kathryn V. Marinello,"President, Chief Executive Officer &amp; Director",Retailing,"Automotive Retailing, Services","Estero, Fla.",,12,"38,000","$9,504.0",8.0%,$-225.0,-168.8%,"$21,382.0",-,"$1,061.0",-,-2.4%,-1.1%,-21.2%,-2.68,-168.0%,-,-,-38.2%,-34.5%,-3.8%,,,,,,,,,,,,,,,,,,,,,,
331,firstdata,"$9,498.0",-21.2%,"$1,005.0",-31.4%,"$38,327.0","$24,767.2",-78,"19,000",-78,Frank J. Bisignano,Chairman &amp; Chief Executive Officer,Business Services,Financial Data Services,"New York, N.Y.",,25,"19,000","$9,498.0",-21.2%,"$1,005.0",-31.4%,"$38,327.0",-,"$4,173.0",-,10.6%,2.6%,24.1%,1.05,-32.7%,-,-,1.2%,-,-,,,,,,,,,,,,,,,,,,,,,,
332,pioneernaturalresources,"$9,415.0",72.6%,$978.0,17.4%,"$17,903.0","$25,639.3",164,"3,177",164,Scott D. Sheffield,"President, Chief Executive Officer &amp; Director",Energy,"Mining, Crude-Oil Production","Irving, Texas",,3,"3,177","$9,415.0",72.6%,$978.0,17.4%,"$17,903.0",-,"$12,111.0",-,10.4%,5.5%,8.1%,5.7,17.5%,-,11.9%,-23.8%,-6.4%,23.4%,151.0,20476.0,Energy,13.0,61.0,0.69,2.0,280937.0,0.23,,,,,,,,,,,,,
333,coty,"$9,398.0",22.8%,$-168.8,-,"$22,630.2","$8,639.5",37,"20,000",37,Pierre Laubies,Chief Executive Officer &amp; Director,Household Products,Household and Personal Products,"New York, N.Y.",,2,"20,000","$9,398.0",22.8%,$-168.8,-,"$22,630.2",-,"$8,849.7",-,-1.8%,-0.7%,-1.9%,-0.23,-,-,-,-65.6%,-13.7%,-,,,,,,,,,,,,,,,,,,,,,,
334,agco,"$9,352.0",12.6%,$285.5,53.2%,"$7,626.4","$5,335.4",12,"21,200",12,Martin H. Richenhagen,"Chairman, President &amp; Chief Executive Officer",Industrials,Construction and Farm Machinery,"Duluth, Ga.",,18,"21,200","$9,352.0",12.6%,$285.5,53.2%,"$7,626.4",-,"$2,932.9",-,3.1%,3.7%,9.7%,3.58,54.3%,-9.8%,-1.3%,-21.3%,-0.3%,9.6%,,,,,,,,,,,,,,,,,,,,,,
335,mutualofomahainsurance,"$9,347.2",7.0%,$277.3,-67.9%,"$43,913.4",-,1,"6,314",1,James T. Blackledge,"Chairman, President &amp; Chief Executive Officer",Financials,,"Omaha, Neb.",,23,"6,314","$9,347.2",7.0%,$277.3,-67.9%,"$43,913.4",-,"$6,439.9",-,3.0%,0.6%,4.3%,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
336,vistraenergy,"$9,144.0",68.4%,$-54.0,-,"$26,024.0","$12,647.8",162,"5,275",162,Curtis A. Morgan,"President, Chief Executive Officer &amp; Director",Energy,Energy,"Irving, Texas",,3,"5,275","$9,144.0",68.4%,$-54.0,-,"$26,024.0",-,"$7,863.0",-,-0.6%,-0.2%,-0.7%,-0.11,-,-,-,24.9%,-,-,,,,,,,,,,,,,,,,,,,,,,
337,avisbudgetgroup,"$9,124.0",3.1%,$165.0,-54.3%,"$19,149.0","$2,646.2",-5,"25,600",-5,Larry D. De Shon,"President, Chief Executive Officer &amp; Director",Retailing,"Automotive Retailing, Services","Parsippany, N.J.",,22,"25,600","$9,124.0",3.1%,$165.0,-54.3%,"$19,149.0",-,$414.0,-,1.8%,0.9%,39.9%,2.06,-51.5%,68.9%,-,-48.8%,-11.1%,41.5%,,,,,,,,,,,,,,,,,,,,,,
338,adobe,"$9,030.0",23.7%,"$2,590.8",52.9%,"$18,768.7","$130,034.0",50,"21,357",50,Shantanu Narayen,"Chairman, President &amp; Chief Executive Officer",Technology,Computer Software,"San Jose, Calif.",,3,"21,357","$9,030.0",23.7%,"$2,590.8",52.9%,"$18,768.7",-,"$9,362.1",-,28.7%,13.8%,27.7%,5.2,53.8%,56.2%,12.6%,29.1%,30.5%,26.7%,,,,,,,,,,Shantanu Narayen,0.98,5.0,6.0,Shantanu Narayen,Information Technology,United States,2007.0,1.0,1.0,43.0,204.0,82.0
339,peterkiewitsons',"$9,025.0",4.0%,$468.0,26.1%,"$4,760.0",-,-1,"20,000",-1,Bruce E. Grewcock,"President, Chief Executive Officer &amp; Director",Engineering &amp; Construction,"Engineering, Construction","Omaha, Neb.",,20,"20,000","$9,025.0",4.0%,$468.0,26.1%,"$4,760.0",-,"$2,564.0",-,5.2%,9.8%,18.3%,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
340,newscorp,"$9,024.0",10.9%,"$-1,514.0",-,"$16,346.0","$7,286.8",9,"28,000",9,Robert J. Thomson,Chairman &amp; Chief Executive Officer,Media,"Publishing, Printing","New York, N.Y.",,5,"28,000","$9,024.0",10.9%,"$-1,514.0",-,"$16,346.0",-,"$9,291.0",-,-16.8%,-9.3%,-16.3%,-2.6,-,-,-,-29.0%,-7.9%,-,317.0,8966.0,Consumer Discretionary,12.0,51.0,0.5,2.0,237250.0,0.25,,,,,,,,,,,,,
341,brighthousefinancial,"$8,965.0",-,$865.0,-,"$206,294.0","$4,230.2",-,"1,260",-,Eric T. Steigerwalt,"Chairman, President &amp; Chief Executive Officer",Financials,,"Charlotte, N.C.",,1,"1,260","$8,965.0",-,$865.0,-,"$206,294.0",-,"$14,418.0",-,9.6%,0.4%,6.0%,7.21,-,-,-,-48.0%,-,-,,,,,,,,,,,,,,,,,,,,,,
342,voyafinancial,"$8,934.0",-7.5%,$875.0,-,"$154,682.0","$7,291.0",-36,"6,000",-36,Rodney O. Martin Jr.,Chairman &amp; Chief Executive Officer,Financials,Diversified Financials,"New York, N.Y.",,5,"6,000","$8,934.0",-7.5%,$875.0,-,"$154,682.0",-,"$8,213.0",-,9.8%,0.6%,10.7%,5.2,-,16.9%,-,-18.8%,2.8%,-,,,,,,,,,,,,,,,,,,,,,,
343,airproducts&chemicals,"$8,930.2",5.8%,"$1,497.8",-50.1%,"$19,178.3","$41,940.8",1,"16,150",1,Seifi Ghasemi,"Chairman, President &amp; Chief Executive Officer",Chemicals,Chemicals,"Allentown, Pa.",,57,"16,150","$8,930.2",5.8%,"$1,497.8",-50.1%,"$19,178.3",-,"$10,857.5",-,16.8%,7.8%,13.8%,6.78,-50.3%,7.7%,5.0%,0.1%,12.2%,16.3%,226.0,29878.0,Materials,10.0,63.5,0.9,4.5,260234.0,0.2,,,,,,,,,,,,,
344,hiltonworldwideholdings,"$8,906.0",-2.6%,$764.0,-39.3%,"$13,995.0","$24,292.8",-21,"169,000",-21,Christopher J. Nassetta,"President, Chief Executive Officer &amp; Director","Hotels, Restaurants &amp; Leisure","Hotels, Casinos, Resorts","McLean, Va.",,16,"169,000","$8,906.0",-2.6%,$764.0,-39.3%,"$13,995.0",-,$551.0,-,8.6%,5.5%,138.7%,2.5,-35.1%,13.1%,-,-9.4%,10.0%,-,,,,,,,,,,,,,,,,,,,,,,
345,gamestop,"$8,850.7",-4.1%,$-673.0,-2039.5%,"$4,044.3","$1,036.0",-24,"33,000",-24,George Sherman,Chief Executive Officer &amp; Director,Retailing,,"Grapevine, Texas",,13,"33,000","$8,850.7",-4.1%,$-673.0,-2039.5%,"$4,044.3",-,"$1,336.2",-,-7.6%,-16.6%,-50.4%,-6.59,-2038.2%,-,-,-21.7%,-19.0%,-1.7%,39.0,4859.0,Consumer Discretionary,11.0,64.0,0.73,10.0,359153.0,0.18,,,,,,,,,,,,,
346,veritiv,"$8,696.2",4.0%,$-15.7,-,"$2,529.7",$418.5,-1,"8,700",-1,Mary A. Laschinger,Chairman &amp; Chief Executive Officer,Wholesalers,,"Atlanta, Ga.",,4,"8,700","$8,696.2",4.0%,$-15.7,-,"$2,529.7",-,$543.1,-,-0.2%,-0.6%,-2.9%,-0.99,-,-,-,-13.6%,-,-,,,,,,,,,,,,,,,,,,,,,,
347,williams,"$8,686.0",8.2%,$-155.0,-107.1%,"$45,302.0","$34,801.1",5,"5,322",5,Alan S. Armstrong,"President, Chief Executive Officer &amp; Director",Energy,Pipelines,"Tulsa, Okla.",,37,"5,322","$8,686.0",8.2%,$-155.0,-107.1%,"$45,302.0",-,"$14,660.0",-,-1.8%,-0.3%,-1.1%,-0.16,-106.1%,-,-,-23.7%,-5.4%,11.2%,,,,,,,,,,,,,,,,,,,,,,
